taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,ACT,2914,18116,17972,1251267789,15712,284677206,15180,301288132,1164,4874465,16237,1178515769,15891,309973575,663,3706992,367,3766670,208,1624959,578,19655745,17987,1289830307,1227,2120002,6159,2572146,14176,37921740,1719,9156160,3590,68163356,712,3773416,2970,-30445847,7182,2107254,11357,9496,4831492
2017/2018,ACT,,251,250,15357721,210,3382150,195,3564664,10,40231,208,13564424,201,3552097,15,91070,12,107814,5,26515,11,430131,250,16120138,11,12056,86,66705,196,762354,22,166831,41,1124071,14,207197,27,-254101,115,35750,126,108,59239
2017/2018,NSW,1225,62,62,15337836,50,6009078,47,5906233,3,16412,39,4220749,37,1335855,0,0,1,21802,1,11609,2,61102,62,15914559,1,6652,20,150077,48,556325,7,63097,24,1000021,7,63437,17,-366807,16,4833,40,35,25787
2017/2018,NSW,1230,52,52,4325800,41,1321126,37,1375822,0,0,34,2245777,32,649483,0,0,2,43618,1,15169,0,0,52,4520124,1,23812,13,10033,42,194324,10,58720,9,273341,5,82428,6,-46411,19,6810,36,32,25503
2017/2018,NSW,1235,100,99,5098232,68,1245853,59,1316795,4,11909,66,4195253,62,1140325,2,14911,3,28436,0,0,0,0,98,5674141,2,21861,23,24851,66,519745,10,86786,28,1293848,12,260701,16,-320656,36,12429,50,47,32927
2017/2018,NSW,1240,69,68,3185772,42,892874,41,946100,2,6008,33,1713011,29,393247,2,13966,0,0,0,0,0,0,69,3257340,1,270,8,12430,38,62931,7,48723,38,1497113,21,419973,17,-214660,13,4583,29,28,20064
2017/2018,NSW,1335,78,78,10129135,63,3438047,57,3593657,3,4054,44,3942962,41,1202709,2,15410,2,43628,0,0,4,169006,78,10730495,2,1014,24,21258,65,581269,12,128414,23,1777841,13,365841,10,-486687,23,7672,62,53,34062
2017/2018,NSW,1355,167,162,11698243,134,3256218,123,3386685,6,25020,99,6799834,94,1944456,6,45595,6,112381,1,3771,3,92352,164,12085522,4,5201,41,16600,122,381792,11,78183,46,1488409,28,473845,18,-229267,67,20989,84,69,54697
2017/2018,NSW,1360,85,82,14703692,75,5189571,64,5450348,3,13603,46,4176472,44,1280990,1,13985,4,78491,0,0,0,0,83,15728192,2,775,29,660678,60,894951,8,136428,18,1904525,13,511460,5,-80922,25,8072,71,64,59334
2017/2018,NSW,1455,69,66,4519967,60,1055315,56,1120708,1,7305,51,3344134,51,888712,1,1055,1,8788,0,0,0,0,69,4753152,3,10892,19,4233,59,213205,7,43916,22,636938,11,94431,10,-65521,27,8280,28,19,12693
2017/2018,NSW,1460,61,61,5561556,56,1550536,52,1625023,3,15924,54,3664595,53,956082,2,9745,3,47010,1,15180,0,0,61,5684034,0,0,18,4895,48,122478,9,91969,7,329518,4,61407,3,-62335,24,6277,27,21,13355
2017/2018,NSW,1485,66,64,3401264,51,690168,46,735174,2,4400,47,2575570,46,621881,3,25005,3,60609,0,0,0,0,66,3599893,3,624,19,23583,51,190547,6,45959,20,626335,11,135781,9,-66605,31,9908,36,33,24465
2017/2018,NSW,1495,74,74,6121106,60,1738617,55,1825181,3,16276,50,4110782,46,1154141,2,2519,3,39833,0,0,0,0,74,6374319,2,2625,19,8379,53,253213,8,102522,21,697796,11,66912,11,-120348,23,8502,52,46,35389
2017/2018,NSW,1499,72,71,3873765,54,870592,49,924260,2,9266,43,3047227,39,782337,1,2971,6,84656,0,0,2,38378,72,3982457,2,8907,19,9579,54,102903,7,64202,23,575394,17,206644,6,-43780,23,7109,41,37,27341
