taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,SA,5092,10091,10018,487469615,8304,88716080,7720,93094650,374,1399440,8120,424327269,7950,95704727,812,4987855,595,6473130,75,907826,297,10747082,10025,504432585,289,465665,3100,987194,7704,16743188,1008,8053947,1158,16554480,383,2272314,799,-4989751,5554,1690447,6037,5244,3251522
2017/2018,SA,5093,4977,4951,234842542,4062,41928659,3734,44081695,207,798471,3918,199817957,3813,44602876,471,2936327,307,3418903,31,343952,127,4318060,4958,243035771,142,222743,1385,448078,3677,8065526,353,2483049,535,7583804,211,1357442,339,-2150993,2780,842687,2789,2421,1517886
2017/2018,SA,5094,503,500,25342705,402,5015570,377,5293296,12,44822,392,19010865,383,4236858,60,436000,27,194220,2,12531,8,259222,500,26259202,16,22534,136,41592,362,914064,28,210304,61,1046316,25,330251,36,-155044,291,89672,203,178,106336
2017/2018,SA,5095,12012,11903,635284121,10039,124210243,9402,130764679,578,2200100,9903,551096421,9623,129776291,1029,6586782,431,4907569,75,637709,173,5789971,11913,659896299,425,840296,3262,1238239,8972,23873787,1021,7094333,1860,31258209,530,3209209,1356,-10603237,6426,1929346,6612,5748,3298518
2017/2018,SA,5096,7505,7435,361869591,6242,65233788,5792,68428982,257,920651,5989,302466825,5839,67401397,739,4742578,391,4529831,42,311360,149,5061913,7445,375795732,213,337155,2128,701279,5703,13586790,608,4796322,1041,16070254,363,2507707,699,-4711779,4336,1330547,4160,3561,2118725
2017/2018,SA,5097,8015,7968,411198392,6729,77674784,6275,81141104,301,1204986,6419,351957096,6286,81241309,541,3302178,450,4892760,77,608574,287,11066937,7979,425952658,214,356661,2499,792335,6247,14608843,841,7437119,1009,14766491,292,1610770,730,-5195916,4318,1307710,5469,4791,3114176
2017/2018,SA,5098,6422,6381,307453542,5378,54963460,4972,57493108,230,827854,5212,266579744,5073,59416332,596,3692673,420,4570154,46,529443,171,5644613,6384,318002562,175,218021,1878,507101,4908,10457549,504,3818635,726,10118578,205,1174176,535,-3703948,3748,1138057,3398,3004,1774221
2017/2018,SA,5106,105,103,5698406,85,1145702,81,1175752,3,10662,68,3472155,66,761706,10,54281,7,88912,3,14752,8,227727,104,6082091,2,883,26,12229,79,276233,7,52969,19,316350,3,17699,16,-86881,53,16793,61,51,35928
2017/2018,SA,5107,8713,8637,385057692,7184,63915045,6615,67258894,281,1098240,7145,335206002,6945,70896468,994,6388251,430,5262489,50,339651,120,3841087,8638,399312960,260,369874,2374,900899,6498,14196366,490,2915163,914,11920795,325,1729156,607,-3824487,5316,1638521,3612,3107,1575559
2017/2018,SA,5108,19961,19783,891104137,16701,147577119,15361,154159343,547,1903676,16796,784958322,16435,165368111,2944,19395544,1087,13406087,134,1096616,290,8357237,19795,922599946,563,689862,5509,1360795,15301,31236804,1136,6815373,1678,21729532,580,3148022,1121,-6537261,12527,3813401,7804,6833,3614844
2017/2018,SA,5109,10521,10444,507234070,8786,91057214,8125,95148920,314,1114579,8514,426963627,8322,94069576,1100,7176149,687,7882816,84,710974,279,9237264,10452,525198337,253,355807,2986,745398,8107,17798329,772,5738612,1176,17239767,417,2426780,771,-4884626,6089,1844911,5414,4669,2843723
2017/2018,SA,5110,4392,4350,208530761,3699,36690220,3458,38396023,146,513979,3609,180449828,3524,39393950,503,3267049,194,2411136,29,276465,42,1227605,4352,216246991,137,197034,1319,331404,3308,7632797,262,1286824,475,6532077,190,1204805,287,-1591593,2660,805882,1855,1633,879177
2017/2018,SA,5111,293,292,20412126,289,4302167,287,4288483,32,113241,291,20621278,291,4683493,3,15642,1,4218,2,1531,3,82295,293,21352075,21,36775,122,32974,280,938613,10,41543,36,709635,14,32660,22,-164236,163,22725,40,21,11498
2017/2018,SA,5112,7978,7908,349338781,6535,57782516,5901,59687004,186,683514,6589,303385134,6463,65174186,1517,11053218,568,7035089,64,569093,193,5841316,7913,361408182,217,281206,2195,560294,6082,11960682,543,3516960,687,8561344,206,933277,487,-2751266,4728,1473142,3213,2801,1602994
2017/2018,SA,5113,6671,6591,260919813,5371,38268075,4793,39572584,118,404808,5576,229849983,5462,45607750,1704,12196411,544,6879174,44,303618,122,3311126,6591,270325071,179,172585,1733,497645,4884,9397186,270,1352619,278,3302175,87,257764,194,-1184390,4231,1341796,1846,1630,763219
2017/2018,SA,5114,18210,18035,902606510,15486,163810543,14484,171827147,612,2159965,15711,801759304,15427,177403236,2089,13358453,946,10791282,157,1280400,328,10477027,18040,937117216,549,814315,5364,1330810,14575,34002055,1221,8175286,1848,23021544,491,2446528,1364,-7923873,10704,3227450,8383,7212,3930003
2017/2018,SA,5115,5744,5672,266894731,4910,45003271,4595,47470328,226,771463,5045,246841031,4956,52294873,764,4790566,334,3717062,37,199225,54,1621104,5675,277591400,199,297744,1657,386438,4631,10488115,252,875554,358,4533872,97,450326,273,-1503971,3626,1062467,2314,1996,942732
2017/2018,SA,5116,5136,5102,258238625,4362,47821193,4055,49555223,182,684907,4278,226076108,4196,51038459,492,3084426,345,4099924,42,388844,146,4689179,5105,268236922,175,173783,1486,415474,4123,9812554,356,2606626,573,7700131,177,969520,404,-2290880,2882,895842,2646,2236,1315842
2017/2018,SA,5117,1853,1837,101380245,1558,20029476,1489,21245787,36,147467,1482,85445836,1449,20297841,71,400299,50,554700,20,273498,35,1131353,1840,105823315,53,74259,507,93730,1471,4401616,174,1258222,349,4840872,92,509092,262,-1603720,926,293198,1205,1045,671837
2017/2018,SA,5118,10861,10788,588499544,9085,117288939,8457,122593491,313,1172320,8642,491348874,8463,117260997,760,4741222,578,6334477,124,1482711,358,12732966,10800,613230522,320,450970,3216,949477,8575,24023001,1067,9798190,1721,24548204,522,3243634,1211,-8156781,5592,1700391,6376,5449,3447202
2017/2018,SA,5120,1385,1357,70683516,1172,13852990,1076,14299677,50,189373,885,45090200,847,10056043,112,747009,44,513006,6,49679,12,269267,1363,73888917,28,51914,313,75333,914,2878193,64,424993,223,3580267,98,891520,126,-781481,789,240690,755,670,456257
2017/2018,SA,5121,957,952,44444337,792,7824996,731,8058520,41,143554,710,35722461,684,7830234,86,515496,67,762990,5,22174,23,644495,953,46245343,27,44921,247,52947,701,1725915,59,378186,122,1958310,46,367671,74,-469182,561,170597,464,397,247341
2017/2018,SA,5125,11952,11890,696105966,10146,144317083,9580,151925286,460,1807956,9897,594840115,9667,145269244,621,3788365,576,5630741,136,1490826,348,12719966,11899,722505774,321,536211,3873,1180343,9518,26144745,1509,12714585,1868,27712193,473,2460521,1416,-11387019,5887,1767406,8822,7408,4922320
2017/2018,SA,5126,4462,4431,235127187,3758,45070850,3520,47245941,168,649761,3622,202584083,3521,47213181,281,1653578,258,2597306,35,322063,143,5635301,4433,243981378,109,131564,1420,457706,3529,8755624,451,3622683,566,7537274,178,863959,389,-2668696,2326,704105,3027,2644,1720300
2017/2018,SA,5127,4911,4875,268643933,4153,52934677,3938,55356431,206,796347,4105,233310286,4029,55169311,290,1628919,218,2209236,71,775483,147,5609516,4881,278573045,137,215597,1570,512180,3886,9835271,625,6056839,739,11457605,193,1256107,556,-4150578,2539,767612,3610,3077,2042173
2017/2018,SA,5131,640,633,35082141,516,7308200,473,7688886,14,47983,429,25463268,410,6265469,28,161372,26,232042,7,39710,18,644224,633,36648986,11,17851,167,81064,449,1564738,82,869332,128,1977155,60,314983,68,-544593,324,104580,456,392,288930
2017/2018,SA,5132,281,277,18626051,233,4428200,214,4634381,8,34970,201,12302326,190,3103249,6,37072,9,103998,2,19845,9,303143,278,19681532,10,20608,72,20609,204,966950,39,410866,54,822084,13,125229,42,-217075,125,38518,225,179,130364
2017/2018,SA,5133,282,280,15817401,223,3371590,203,3544548,5,21876,197,12884514,191,3361742,6,33488,14,177179,3,20183,8,259857,281,16666150,8,4836,88,31828,209,808085,41,828192,61,890591,27,131959,36,-211762,124,37137,207,192,133843
2017/2018,SA,5134,241,239,14602933,193,3272168,172,3418514,15,55370,172,9849530,161,2609503,8,43197,16,196015,3,23950,10,370646,240,15253351,7,6523,71,52603,175,600563,29,392323,40,748509,19,183961,23,-197623,106,30952,184,155,123826
2017/2018,SA,5136,292,291,18656912,243,4192400,225,4362556,13,67724,203,12902201,195,3438497,21,173130,8,70012,4,16760,13,729825,291,19308865,5,12463,74,54634,219,644710,39,589063,54,1055925,20,191696,34,-292677,120,37511,226,192,140078
2017/2018,SA,5137,362,359,23003417,297,5352516,270,5439458,11,47917,255,15314541,236,3948562,14,85205,13,172026,9,199021,12,556092,362,24099113,5,3352,90,97172,248,1007573,40,636502,68,1036296,37,203666,32,-396943,159,46918,298,240,185505
2017/2018,SA,5138,180,180,9539453,144,1922717,132,2036153,7,31664,141,7275597,131,1732137,16,98101,4,68732,1,8370,2,57264,180,9893217,5,5599,46,27977,119,326520,14,387349,22,299862,11,92799,9,-47644,85,28983,118,102,71647
2017/2018,SA,5139,138,136,7918033,109,1816031,102,1926269,3,17483,94,5807050,92,1459106,2,2676,7,105540,1,683,4,103759,136,8282028,6,7037,32,13476,97,361365,15,168457,16,130203,5,10831,11,-182839,63,17647,106,84,60546
2017/2018,SA,5140,276,274,19304884,228,4619502,214,4796731,28,133241,210,14765966,203,3990454,9,56272,13,165682,3,24768,10,403517,273,20054392,7,24349,91,40777,218,749508,29,304569,59,761942,17,64169,41,-337960,97,29825,223,196,129326
2017/2018,SA,5141,460,455,28115832,377,6262687,346,6492289,26,102058,359,21754465,346,5677513,20,126578,21,263237,6,74893,12,428906,456,29606959,12,14323,143,109991,357,1479706,60,763414,56,914909,20,156168,38,-264705,212,64987,367,311,222163
2017/2018,SA,5142,444,441,25550715,352,5674650,321,5774909,15,79601,289,16621148,275,4229451,8,60140,31,316628,5,40445,20,846408,442,26712127,7,7747,124,114175,313,1153484,55,480625,89,1293569,39,286995,50,-283131,203,62884,353,306,224053
2017/2018,SA,5144,252,251,17545501,208,4255135,195,4461111,10,40002,178,11681890,169,3138208,12,83435,7,45417,4,43294,10,387504,251,18404068,5,5417,67,64798,179,856127,26,243401,58,789757,22,146130,37,-211604,106,31814,205,167,118243
2017/2018,SA,5150,53,53,4633602,43,1349263,34,1394433,0,0,35,2801389,33,816330,0,0,5,71159,1,47137,1,23555,53,4767195,0,0,16,3731,36,133593,9,53829,8,93030,5,19159,3,-9005,23,6155,39,35,25086
2017/2018,SA,5151,260,259,18981620,215,4801831,202,5066837,13,63142,179,11631389,168,3068201,13,74282,8,76797,1,5987,8,299129,260,19894308,8,23425,77,64425,190,901742,32,499168,46,959549,21,164762,25,-239557,115,34317,190,160,114777
2017/2018,SA,5152,4198,4168,346444078,3511,92841852,3226,96229995,202,990866,2853,208862831,2720,59501807,154,886069,214,2232423,37,497125,212,9360308,4177,362774839,85,249692,1368,1112110,3135,15820408,565,8302542,746,14155910,293,2310320,454,-4134213,1598,497926,3417,2819,2114750
2017/2018,SA,5153,4140,4107,265673794,3356,62705390,3116,65200188,153,618520,2916,182491473,2816,47375017,184,1127781,164,1793218,42,688351,114,5413304,4115,277772795,96,135095,1113,901360,3037,11582354,464,5450168,690,11071478,280,2096004,415,-3486812,1906,605951,2892,2386,1636851
2017/2018,SA,5154,2344,2323,184054859,1904,48851914,1756,50392915,95,429195,1624,117427453,1546,33698354,74,447653,124,1313743,26,336060,117,5241715,2324,192156562,63,140919,743,562817,1730,8012533,314,4122363,383,6052926,136,885268,249,-2222426,897,285225,1913,1526,1173958
2017/2018,SA,5155,2461,2446,145423049,2049,31224833,1917,32359555,152,583728,1903,113067318,1846,28461800,141,928091,125,1290110,22,218655,76,3114631,2448,150989309,69,84446,760,426900,1865,5503243,314,3136830,404,5470405,141,890265,266,-1702906,1163,352400,1763,1520,982142
2017/2018,SA,5156,627,624,40109330,516,9132992,480,9433760,30,125123,461,31796376,451,8629018,42,232690,27,288615,4,27837,37,1789429,626,41589438,12,17880,214,109823,475,1432291,95,1139875,117,1624168,38,241189,78,-521211,262,81159,439,393,270443
2017/2018,SA,5157,1986,1964,113714704,1614,24333181,1489,25320738,57,240213,1403,81888080,1353,20549919,80,495783,84,858834,22,271883,62,2627470,1974,118840025,55,102795,534,324381,1442,5038782,265,3049785,363,6772051,147,1441810,218,-1740984,945,299912,1473,1239,872874
2017/2018,SA,5158,15529,15427,821323583,13087,158159070,12295,166320029,615,2464007,12764,713886178,12502,168351556,961,5655111,706,7442686,173,1750243,381,13918452,15434,854151599,512,830301,5015,1455475,12283,32439481,1800,16205742,2081,29733903,626,3125858,1476,-10178381,8335,2531298,10566,9150,5527631
2017/2018,SA,5159,20629,20494,1109485981,17191,220314644,15982,230303278,867,3268969,16329,919531565,15916,219606255,1178,6870621,1256,12806226,193,2430048,720,27866369,20512,1151939052,612,815889,6603,2280622,15925,41944603,2461,22726869,2841,43696860,906,5469844,1963,-13470174,10638,3225700,14337,12293,8060411
2017/2018,SA,5160,131,129,7976731,117,1717861,105,1819391,6,24061,78,4358606,74,1004783,4,28785,3,45009,0,0,1,31094,130,8455253,1,9132,16,10789,90,457006,7,103943,29,538513,16,191892,13,-97615,69,21479,79,74,51319
2017/2018,SA,5161,5571,5526,265178088,4726,46374713,4367,48734762,219,792715,4586,233840594,4491,51690064,483,2812840,376,4198853,55,467107,152,4889576,5531,275109101,180,198989,1714,437920,4432,9858221,462,3529177,557,7874513,184,899328,379,-2417791,3313,1005281,3172,2816,1596642
2017/2018,SA,5162,19019,18874,889169258,15856,154452209,14662,162445959,590,2177904,15684,784495750,15382,171169883,1905,11988483,1234,13854337,142,1113104,429,14394017,18888,923779883,543,648132,5835,1490254,14916,34260775,1562,11196915,1981,26075223,576,2756793,1438,-9546783,11299,3434615,10416,9175,5179899
2017/2018,SA,5163,6952,6891,308677858,5686,51759715,5232,54132216,180,614875,5626,265139606,5504,56572855,954,6706493,447,5006209,50,440452,128,4510456,6895,321077853,213,250558,1957,518399,5302,12151757,466,2941709,701,9898063,185,1097857,528,-3646595,4188,1307222,3393,2961,1608192
2017/2018,SA,5164,2013,1999,81682207,1620,12481104,1458,12980717,44,173949,1667,71526298,1631,14577137,375,2757134,173,2139606,17,62833,43,1305078,2000,84637130,58,54783,577,126266,1505,2924665,114,665963,97,1250099,34,118089,66,-405536,1235,398857,795,698,349193
2017/2018,SA,5165,2835,2810,129747445,2343,22452638,2101,23222478,87,307693,2207,107839007,2162,24027054,392,2585107,249,2988156,16,162663,69,2224948,2812,134565598,100,108885,794,259716,2136,4800629,175,1130833,355,5370825,115,773402,241,-1280781,1626,514084,1294,1166,638641
2017/2018,SA,5166,892,888,40586811,741,6879913,694,7215190,35,119714,708,34136942,697,7371286,139,950870,55,603652,11,87046,17,516477,889,42276911,24,23769,223,64219,690,1682000,82,418187,78,1165234,27,152893,52,-375068,548,168177,385,357,181734
2017/2018,SA,5167,3481,3462,176815819,2902,33378180,2673,34893910,128,454831,2750,148562285,2696,34867729,324,2251999,225,2484213,27,294065,88,3294271,3462,183857970,130,150578,1017,362709,2691,7019112,366,3184601,537,7692922,171,1028453,371,-2472782,1864,578410,1980,1747,995383
2017/2018,SA,5168,2905,2880,134897333,2394,23514222,2191,24506774,90,316359,2351,116246496,2290,25551703,351,2276013,185,2002961,29,292259,47,1409780,2880,140298242,81,89601,855,215903,2232,5339525,203,1543362,320,4688233,98,599889,225,-1561191,1648,514469,1513,1354,708466
2017/2018,SA,5169,10112,10038,500375785,8566,91414629,7926,96708764,347,1268168,8419,443450319,8268,100585124,872,5209068,570,6544173,88,774866,188,6438004,10044,520257021,305,427167,2991,709136,8091,19749419,796,5178820,1115,14484367,255,1371594,876,-5547305,5827,1775303,5563,4974,2600168
2017/2018,SA,5170,691,681,32899755,563,5942491,519,6277933,23,81584,523,26968458,510,6269041,72,517112,39,426998,8,66125,14,473532,682,34374259,24,18809,201,51879,510,1416131,44,264525,99,1521762,41,323098,58,-315630,376,119646,392,348,182207
2017/2018,SA,5171,3763,3733,200364330,3060,40939572,2771,42316058,111,435477,2574,141582384,2487,33757829,200,1235465,242,2734047,35,441904,127,4711342,3743,209568122,96,130756,925,374474,2760,8710987,340,3094920,621,8987952,210,1470667,414,-2655495,1906,593241,2555,2277,1563138
2017/2018,SA,5172,2612,2588,136476889,2086,27717135,1890,28753168,67,269964,1797,96382643,1710,23170597,159,1067040,149,1663864,25,241969,83,3341784,2602,143287708,62,93489,690,455587,1902,6417090,280,3116536,529,7337125,220,1503339,313,-1896019,1265,408344,1663,1449,954998
2017/2018,SA,5173,6855,6794,322748666,5613,58082117,5094,59948149,204,700402,5325,260488372,5183,57717552,776,5110081,456,5201589,64,790784,149,4971851,6796,336526342,219,329789,1859,632168,5187,13670565,429,2832885,798,11231361,280,1591185,529,-3340729,3904,1218797,3508,3155,1685346
2017/2018,SA,5174,1562,1552,76458034,1262,14614716,1169,15295317,47,161274,1207,59583733,1177,13414055,161,1072649,83,919345,13,69349,36,1232590,1552,79827460,49,58700,393,105838,1187,3339266,92,818991,190,2722640,66,437604,128,-864779,885,273437,841,750,390233
2017/2018,SA,5201,1337,1322,79397629,1088,18611591,999,19435265,49,183777,974,54129251,956,12925633,87,545337,63,643307,14,144815,36,1164503,1330,83928465,34,77923,340,1133139,983,4366313,114,995998,203,3118933,76,510592,127,-862319,701,217021,841,737,476133
2017/2018,SA,5202,549,544,25705980,430,4796960,396,5061196,13,52888,383,19543421,368,4491166,41,251633,23,268289,4,27746,8,280898,548,26871597,9,18817,102,59592,382,1123769,38,227375,91,1095585,23,69126,68,-358300,291,92466,308,271,167429
2017/2018,SA,5203,681,673,28248984,510,4906556,456,4934420,8,38993,429,19544586,416,4270018,49,341460,50,555353,4,101875,26,876570,680,29832583,9,16448,149,48089,462,1446304,42,276135,107,1439620,43,328945,64,-319875,352,120296,381,347,243736
2017/2018,SA,5204,1488,1471,60950525,1106,10678052,943,10480627,18,68291,895,39669537,854,8482222,139,1025481,180,2120246,11,128739,88,3393772,1473,64051393,20,32591,337,384273,1001,2971500,110,1106594,213,2784983,105,577951,110,-634594,782,258423,905,836,577589
2017/2018,SA,5210,1114,1099,55968940,902,11206944,811,11604264,23,82620,820,42938568,789,9953767,78,472911,67,783630,7,114296,28,920112,1105,58327478,37,55546,268,70208,808,2260584,86,506090,159,1977118,69,408424,94,-522367,568,180411,641,567,346673
2017/2018,SA,5211,7995,7896,339151980,5918,60930422,5047,60798019,153,597285,4686,210841233,4482,46047457,736,4856088,1033,11752534,87,980584,493,17692794,7949,356214378,171,321289,2040,1097349,5469,15782424,521,5216247,1087,15376775,539,3615447,559,-3308446,4104,1342896,4569,4129,3034045
2017/2018,SA,5212,1201,1194,48346821,863,8450165,734,8260544,22,100858,661,29193161,631,6454436,103,597227,160,1646775,7,73205,90,3275667,1194,50845824,18,34883,294,165638,804,2492697,59,797947,165,2081484,94,558274,74,-415300,605,200526,699,618,466926
2017/2018,SA,5213,738,726,38800078,558,8667116,490,8917843,16,69206,476,23237930,455,5517557,66,417328,59,594393,7,64663,33,1317838,729,40488363,24,36715,180,60038,522,1595548,63,732217,135,1645749,64,290488,71,-427838,384,125511,423,390,264399
2017/2018,SA,5214,4213,4171,172628825,3102,29689320,2605,29308268,59,237472,2463,109639745,2378,24019475,416,2797842,597,6605713,54,489353,274,9202357,4188,180890992,84,118434,938,435161,2891,7405380,297,2690392,536,7643698,271,1809851,274,-1801637,2135,699562,2367,2188,1567978
2017/2018,SA,5220,257,252,11024124,214,1892642,194,1850279,7,34464,167,6564651,160,1350792,11,57182,9,118675,2,5626,4,168288,255,11734275,6,8977,33,4683,184,625967,10,141503,32,354691,15,61767,19,-108001,155,50360,100,96,69678
2017/2018,SA,5221,186,184,6786489,139,1013799,115,964426,2,8051,114,3950088,109,766070,19,117239,22,205978,1,58,9,384778,185,7050926,2,4166,34,13249,130,256947,6,104981,30,355854,17,82036,13,-60163,106,33172,84,82,58981
2017/2018,SA,5222,388,380,17025759,300,3086317,253,3092074,5,28337,230,8796403,221,1839073,32,226043,42,498082,2,43093,12,494792,380,17784182,6,4823,71,55412,258,739978,33,240650,72,1047026,41,228299,31,-157105,215,67924,179,160,116681
2017/2018,SA,5223,2160,2132,92178449,1716,16020404,1549,16237352,54,202586,1449,60099865,1420,12734286,201,1315961,139,1746685,18,209848,36,1239689,2151,96816785,35,38363,424,216422,1502,3908203,133,1973078,340,4223771,184,970068,154,-775902,1253,415662,806,737,496304
2017/2018,SA,5231,732,725,46987623,607,11098173,570,11491474,21,103834,539,32556518,524,8135737,25,125174,24,322414,4,40576,15,627272,726,48922620,19,35101,173,83326,552,1918163,87,947359,131,1845552,49,237618,85,-569855,360,113637,511,430,281797
2017/2018,SA,5232,271,269,15331763,213,3328011,198,3491939,3,9183,208,12612771,200,3174459,10,48312,16,192826,3,23732,9,286570,271,15920382,7,10435,65,27939,202,574094,39,474983,40,728663,23,169834,19,-229379,125,39971,200,170,125621
2017/2018,SA,5233,880,869,50141044,703,10857748,641,11242134,24,88924,639,34998853,613,8291203,38,246573,32,434845,14,187407,24,947739,875,52261614,21,23092,201,92426,646,2003885,76,810864,171,2461585,72,468698,106,-616852,424,127228,604,528,360308
2017/2018,SA,5234,877,861,46486631,699,9591019,655,9851633,19,73203,651,36733434,635,8745801,42,274217,40,456771,9,116072,25,815171,867,48497603,20,23694,235,126217,649,1941347,87,908511,129,2061483,56,319941,73,-438380,437,132921,563,481,312453
2017/2018,SA,5235,1381,1361,65971239,1074,12685043,997,13261862,25,102234,956,50855292,931,11987184,104,730621,83,982455,20,164332,41,1684716,1369,69451586,30,41589,348,253236,961,3237114,96,1124394,201,2446245,79,432443,127,-601754,694,218564,814,709,471725
2017/2018,SA,5236,163,161,8522656,132,1777557,116,1869373,0,0,126,7493276,124,1818119,17,72099,7,115346,1,264,3,47236,161,8878960,3,1071,33,9784,118,356304,10,46369,15,165129,5,12466,9,-71602,86,25429,83,72,39545
2017/2018,SA,5237,202,200,8963993,156,1599125,142,1547813,5,18237,139,6315642,133,1369288,18,141972,16,185757,3,38323,4,116433,200,9513457,3,13271,32,16039,145,317396,14,50190,22,249369,4,16448,18,-94602,104,32845,94,92,56425
2017/2018,SA,5238,2036,2015,84786525,1549,14583557,1345,14724421,31,111522,1384,61238970,1329,13258272,179,1375862,214,2548702,20,264609,64,2008215,2024,88777193,42,51732,404,146952,1459,3795720,140,971564,289,3152561,155,814384,139,-614055,1072,341625,1000,895,595112
2017/2018,SA,5240,349,345,16772714,260,3559588,228,3778001,3,17574,236,12281136,221,2851221,20,125349,21,218359,2,18737,9,274101,347,17524346,7,11766,91,29926,250,719355,41,438867,60,978051,32,174803,30,-290668,169,49644,236,213,149151
2017/2018,SA,5241,1527,1510,83064847,1267,16958025,1179,17875523,54,217565,1209,64303028,1175,14690479,101,659065,82,920888,7,78281,30,1211169,1512,86526063,57,74138,384,166300,1158,3360917,126,972942,151,2150812,59,488680,94,-461333,819,253723,914,787,461876
2017/2018,SA,5242,1059,1046,68995545,863,16540797,805,17301759,50,199598,772,48518353,751,12527381,44,220725,54,588049,7,26838,35,1193929,1052,71842291,27,55592,318,135044,818,2802996,120,1273121,159,2680923,72,630864,90,-552112,478,149711,786,661,456175
2017/2018,SA,5243,593,588,37987509,487,8817189,457,9234929,23,107032,410,24930370,394,6403866,24,148664,30,252896,5,31638,19,813204,589,39788867,12,7456,171,209901,441,1775012,67,610568,109,2093016,36,595963,74,-586239,278,84866,472,393,304215
2017/2018,SA,5244,2595,2569,138757558,2072,28792585,1901,30104627,89,352698,1940,108399760,1880,26208454,132,736062,131,1423507,27,202265,69,2600838,2578,145217475,57,135816,683,300922,1912,6199159,242,2582361,363,5667243,128,965249,240,-1833496,1251,391302,1716,1479,1007743
2017/2018,SA,5245,1964,1953,116721516,1593,26054100,1406,26550891,44,201432,1283,76186823,1230,19173595,64,384358,158,1798214,28,436366,79,3219342,1958,122193836,35,58226,549,469621,1421,5193498,237,3391374,322,5299762,166,1296532,159,-1133902,901,278705,1521,1317,973768
2017/2018,SA,5250,2326,2310,136359516,1924,29152069,1791,30842656,94,366101,1810,108067433,1759,26617649,116,668363,113,1244167,31,216674,70,2371905,2311,142194847,77,163756,681,369877,1771,5762127,278,2499932,307,4971334,95,646426,215,-1853800,1110,347447,1696,1448,955303
2017/2018,SA,5251,9257,9182,494378246,7693,98255396,7130,103015538,421,1631858,7313,408773512,7152,96973450,667,3984438,586,6376625,84,842894,256,9148093,9200,515235316,323,529031,2518,1296745,7102,20119990,857,7061676,1093,18403476,369,2920985,736,-5647790,4845,1486874,5807,4967,3054790
2017/2018,SA,5252,3869,3829,196641404,3195,37228244,2986,39181399,154,577627,3148,169960937,3069,39401096,255,1495334,156,1983472,34,255062,61,1802512,3843,205118793,132,246179,1002,404452,3021,8171718,339,2290315,499,6532082,156,917156,347,-2064017,2073,632901,2254,1962,1116847
2017/2018,SA,5253,9724,9622,413988209,7793,69165674,7040,71482803,196,675979,7470,333975081,7288,69534153,1092,7116518,759,8959190,72,767412,180,6030247,9644,435160649,223,408249,1983,839717,7244,19702424,603,4945784,1040,13181345,402,2828847,653,-3544051,5818,1847508,3728,3245,1870621
2017/2018,SA,5254,1294,1274,57976465,1004,10630036,904,11010845,28,85663,953,45082445,933,10058012,114,739253,74,876344,10,72920,29,806700,1283,60730960,18,23435,283,113668,921,2474696,79,506573,148,1650788,70,436572,84,-371109,712,224254,590,521,321648
2017/2018,SA,5255,5466,5391,261981497,4348,49606931,3936,51164674,114,393138,3957,198716121,3829,44373498,401,2362991,390,4350909,66,664627,159,5637659,5420,274446940,107,177677,1211,635658,4057,11478848,449,4068783,770,10588744,356,2480690,417,-2671126,2895,916981,3271,2908,1862141
2017/2018,SA,5256,650,643,25938199,492,4239662,423,4305888,10,45250,460,20186022,444,4343308,60,412653,67,789217,4,17336,18,629992,645,27229414,13,24657,133,48970,460,1213030,39,307336,78,1078405,43,195212,36,-246981,353,108959,311,282,175030
2017/2018,SA,5259,480,469,18396874,356,2977140,321,3032151,7,27096,334,13551294,319,2735598,56,367813,34,388299,1,9619,3,152361,478,19283200,6,5993,70,15109,302,729494,20,175341,52,489279,23,106351,29,-131155,266,88062,232,207,134137
2017/2018,SA,5260,872,865,37473503,709,6260879,636,6471796,10,39963,655,29608426,636,6170057,111,760337,73,847668,4,30239,30,964816,866,39626795,16,15623,150,34430,641,2151559,46,327202,94,926568,57,267250,37,-143102,530,168769,360,314,182788
